PK,subject_code,subject_number,subject_year,subject_semester,subject_name,professor_id,created_college,governed_college,lecture_credit,lecture_type,lecture_max_personnel,lecture_applied_number,lecture_exclusive,university_exclusive,lecture_building,lecture_room_number,others,lecture_bound,special_course,dad_of_revenge
2023-01-113031-31001,113031,31001,2023,1,기술과경영,iise-01,sgc-iise,sgc-iise,3,전선,59,0,Y,Y,프론티어관,408,NULL,NULL,NULL,NULL
2023-01-113036-31001,113036,31001,2023,1,공급사슬관리,iise-02,sgc-iise,sgc-iise,3,전선,55,0,Y,Y,프론티어관,402,NULL,NULL,영어전용(M),NULL
2023-01-113038-21001,113038,21001,2023,1,자바프로그래밍,iise-03,sgc-iise,sgc-iise,3,전선,45,0,Y,Y,프론티어관,511,NULL,NULL,NULL,NULL
2023-01-113041-31001,113041,31001,2023,1,웹프로그래밍,iise-04,sgc-iise,sgc-iise,3,전선,40,0,Y,Y,프론티어관,501,NULL,NULL,NULL,NULL
2023-01-113044-41001,113044,41001,2023,1,딥러닝,iise-05,sgc-iise,sgc-iise,3,전선,35,0,Y,Y,프론티어관,501,NULL,NULL,영어전용(Y),NULL
2023-01-113046-41001,113046,41001,2023,1,사용자경험디자인,iise-06,sgc-iise,sgc-iise,3,전선,40,0,Y,Y,프론티어관,408,NULL,NULL,영어전용(Y),NULL
2023-01-113047-31001,113047,31001,2023,1,추계과정,iise-07,sgc-iise,sgc-iise,3,전선,58,0,Y,Y,프론티어관,409,NULL,NULL,NULL,NULL
2023-01-113050-21002,113050,21002,2023,1,경제성공학,iise-08,sgc-iise,sgc-iise,3,전선,57,0,Y,Y,프론티어관,409,NULL,NULL,NULL,NULL
2023-01-113050-21001,113050,21001,2023,1,경제성공학,iise-08,sgc-iise,sgc-iise,3,전선,40,0,Y,Y,프론티어관,409,NULL,NULL,NULL,NULL
2023-01-113313-21001,113313,21001,2023,1,경영과학,iise-10,sgc-iise,sgc-iise,3,전필,16,0,Y,Y,프론티어관,507,NULL,NULL,NULL,NULL
2023-01-113403-21001,113403,21001,2023,1,공업수학,iise-10,sgc-iise,sgc-iise,3,전필,93,0,Y,Y,무궁관,911,NULL,NULL,NULL,NULL
2023-01-113409-21001,113409,21001,2023,1,선형대수학,iise-11,sgc-iise,sgc-iise,3,전선,83,0,Y,Y,다산관,310,NULL,NULL,영어전용(M),NULL
2023-01-113414-21002,113414,21002,2023,1,생산관리,iise-13,sgc-iise,sgc-iise,3,전선,35,0,Y,Y,프론티어관,509,NULL,NULL,NULL,NULL
2023-01-113414-21001,113414,21001,2023,1,생산관리,iise-13,sgc-iise,sgc-iise,3,전선,35,0,Y,Y,프론티어관,402,NULL,NULL,NULL,NULL
2023-01-113449-41001,113449,41001,2023,1,경영과마케팅,iise-14,sgc-iise,sgc-iise,3,전선,45,0,Y,Y,프론티어관,406,NULL,NULL,NULL,NULL
2023-01-113453-41001,113453,41001,2023,1,전사적자원관리,iise-15,sgc-iise,sgc-iise,3,전선,40,0,Y,Y,프론티어관,503,NULL,NULL,영어전용(M),NULL
2023-01-113464-31001,113464,31001,2023,1,품질경영론,iise-27,sgc-iise,sgc-iise,3,전선,47,0,Y,Y,프론티어관,402,NULL,NULL,NULL,NULL
2023-01-113501-41002,113501,41002,2023,1,캡스톤디자인(1),iise-08,sgc-iise,sgc-iise,3,전필,12,0,Y,Y,프론티어관,407,NULL,NULL,논문세미나,NULL
2023-01-113501-41001,113501,41001,2023,1,캡스톤디자인(1),iise-17,sgc-iise,sgc-iise,3,전필,12,0,Y,Y,프론티어관,612,NULL,NULL,논문세미나,NULL
2023-01-113501-41004,113501,41004,2023,1,캡스톤디자인(1),iise-01,sgc-iise,sgc-iise,3,전필,12,0,Y,Y,프론티어관,601,NULL,NULL,논문세미나,NULL
2023-01-113501-41006,113501,41006,2023,1,캡스톤디자인(1),iise-06,sgc-iise,sgc-iise,3,전필,12,0,Y,Y,프론티어관,1003,NULL,NULL,논문세미나,NULL
2023-01-113501-41003,113501,41003,2023,1,캡스톤디자인(1),iise-02,sgc-iise,sgc-iise,3,전필,12,0,Y,Y,프론티어관,503,NULL,NULL,논문세미나,NULL
2023-01-113501-41005,113501,41005,2023,1,캡스톤디자인(1),iise-05,sgc-iise,sgc-iise,3,전필,12,0,Y,Y,프론티어관,602,NULL,NULL,논문세미나,NULL
2023-01-113503-31001,113503,31001,2023,1,데이터마이닝,iise-12,sgc-iise,sgc-iise,3,전선,37,0,Y,Y,프론티어관,501,NULL,NULL,NULL,NULL
2023-01-113503-31002,113503,31002,2023,1,데이터마이닝,iise-09,sgc-iise,sgc-iise,3,전선,40,0,Y,Y,프론티어관,501,NULL,NULL,NULL,NULL
2023-01-113509-41001,113509,41001,2023,1,모바일프로그래밍,iise-04,sgc-iise,sgc-iise,3,전선,30,0,Y,Y,프론티어관,507,NULL,NULL,NULL,NULL
2023-01-113526-41001,113526,41001,2023,1,코업(3),iise-05,sgc-iise,sgc-iise,6,전선,12,0,Y,Y,NULL,NULL,NULL,NULL,현장실습,NULL
2023-01-113527-41001,113527,41001,2023,1,코업프로젝트(3),iise-05,sgc-iise,sgc-iise,12,전선,12,,Y,Y,NULL,NULL,NULL,NULL,코업프로젝트,NULL
